label,summmarydescription
0,RangeQuery and RangeFilter should use collation to check for range inclusion
1,NodeReferences are lost when deleting and setting the same reference in the same save() cycle
0,Missing class JNDIDatabaseJournal
0,bulk postings should be codec private
0,Order of stored Fields not maintained
1,Bundle persistence name index not case-sensitive in MySQL and MS SQL
1,Preemtive Auth fails whithout credentials
1,System view export truncates carriage return
1,VersionManagerImplRestore internalRestoreFrozen method has identity versus equals bug
1,"In JCAConnectionRequestInfo, equals() and hashCode() implementations are inconsistent"
1,consistency check fails with derbypm if bundle size exceeds 32k
0,Should SegmentTermPositionVector be public?
0,Improve FilteredQuery to shortcut on wrapped MatchAllDocsQuery
1,Cluster Journal directory should be created automatically
1,Use of Multi-Args URI Causes URI-Rewriting to improperly unescape characters
0,optimizations for bufferedindexinput
0,Convert NumericUtils and NumericTokenStream to use BytesRef instead of Strings/char[]
1,NodeTypeDef depends on supertype ordering
0,REFERENCE properties produce duplicate strings in memory
0,"Missing support for some ""general"" relations in QueryTreeDump and xpath.QueryFormat"
0,benchmark pkg: allow TrecContentSource not to change the docname
0,Remove Unnecessary NULL check in FindSegmentsFile - cleanup
0,Thread starvation problems in some tests
1,Scorer.skipTo() does not initialize hits
0,TopDocsCollector should have bounded generic <T extends ScoreDoc>
0,NodeCanAddMixinTest.testCheckedIn() has wrong option check
0,JackrabbitParser and tika 0.7 parser
1,new QueryParser fails to set AUTO REWRITE for multi-term queries
0,Skip deployment of jackrabbit-standalone
0,Code cleanups for Java 1.5 and more.
0,Make all classes that have a close() methods instanceof Closeable (Java 1.5)
0,"Can't put non-index files (e.g. CVS, SVN directories) in a Lucene index directory"
0,All Tokenizer implementations should have constructors that take AttributeSource and AttributeFactory
0,it is impossible to use a custom dictionary for SmartChineseAnalyzer
0,The terms index divisor in IW should be set via IWC not via getReader
0,rev. 169301: wrong directory name in build.xml
0,Move NodeTypeStorage to spi-commons and provide default implementation
1,Transient Repository cannot be used more than once when configured with DataSources
0,DatabasePersistenceManager & DatabaseFileSystem: try to gracefully recover from connection loss
0,PropertyImpl.getNode() and NamePropertyTest use different exception than documented in the JCR API JavaDoc
1,"addIndexesNoOptimize intermittantly throws incorrect ""segment exists in external directory..."" exception"
1,"DocValues merging is not associative, leading to different results depending upon how merges execute"
0,remove MultiTermQuery get/inc/clear totalNumberOfTerms
0,Move Jackrabbit Query Parser from core to spi-commons
1,FieldCache.getStringIndex should not throw exception if term count exceeds doc count
1,Cannot version the root node
0,Make CachingTokenFilter faster
0,Change default value of SearchIndex extractorPoolSize
0,Document the temporary free space requirements of IndexWriter methods
0,BundleFsPersistenceManager: remove deprecated settings
1,LockMethod.getResponseAsLockDiscovery() fails when status==201 
0,contrib/benchmark files need eol-style set
0,Index creates many folders when re-indexing
0,Upgrade to Tika 1.0
0,Remove all interning of field names from flex API
0,Create jackrabbit-api(.jar) and the respective jackrabbit-rmi extensions
0,Make contrib analyzers final
0,Supplementary Character Handling in CharTokenizer
0,Parsing mixed inclusive/exclusive range queries
0,change sort order to binary order
0,Jcr-Server: DavException doesn't allow to specify an exception cause
0,[PATCH] cleaner API for Field.Text
1,HttpConnection isOpen flag concurrency problem
0,Remove/deprecate Tokenizer's default ctor
0,UserImporter should use User.changePassword
0,Make TokenStream Reuse Mandatory for Analyzers
0,Minor performance improvement to IdleConnectionHandler
1,XML import using MacOS X WebDAV client does not work
1,New LaxRedirectStrategy class should probably call the super method first.
0,Improve InfoStream class in trunk to be more consistent with logging-frameworks like slf4j/log4j/commons-logging
1,If indexwriter hits a non-ioexception from indexExists it leaks a write.lock
1,WorkspaceImporter throws exception
0,refactor HttpClientConnection and HttpProxyConnection
1,JNDI Referencable Issues
0,"[PATCH] simplify conversion of strings to primitives by using parseXXX, not valueOf(xxx).xxxValue()"
1,fix assertions/checks that use File.length() to use getFilePointer()
1,"Database connection leak with DBCP, MySQL, and Observers"
0,Improve docs for deployment Models 1 and 2 on Tomcat 5.5.x and provide an example webapp.
0,Avoid string concatenation in AbstractBundlePersistenceManager
1,ShingleFilter skips over trie-shingles if outputUnigram is set to false
1,Redirect to a relative URL fails
1,The deprecated constructor of BooleanClause does not set new state
0,Upgrade all default socket factories to use SO_REUSEADDR parameter
0,Add generics to DocumentsWriterDeleteQueue.Node
1,BoostingTermQuery's explanation should be marked as Match even if the payload part negated or zero'ed it
0,Replace IndexReader.getFieldNames with IndexReader.getFieldInfos
0,Node Type Management subproject : Default namespace should be emtpy
0,queryparser makes all CJK queries phrase queries regardless of analyzer
0,Cookie docs are outdated.
0,Cache jcr name to QName mappings
1,Query index not in sync with workspace
1,Fix small perf issues with String/TermOrdValComparator
1,SpanRegexQuery and SpanNearQuery is not working with MultiSearcher
0,"Pass potent SR to IRWarmer.warm(), and also call warm() for new segments"
0,Move NoDeletionPolicy from benchmark to core
0,"Add LuSql project to ""Apache Lucene - Contributions"" wiki page"
1,/contrib/orm-persistence/ OJBPersistenceManager
0,Backport JCR-1197: Node.restore() may throw InvalidItemStateException
0,Provide names for constants in QueryConstants
0,Typo in log output
0,DEFAULT spelled DEFALT in MoreLikeThis.java
0,Upgrade to latest SLF4J and Logback
0,"[PATCH] png, apng, mng text extractor"
1,Mixin type loss
0,Demo HTML parser gives incorrect summaries when title is repeated as a heading
1,Lucene queries are not properly rewritten
1,Deleting docs of all returned Hits during search causes ArrayIndexOutOfBoundsException
0,simple improvements to tests
1,SSLSocketFactory.createSSLContext does not process trust store
0,Improve name resolution
0,Add insertWithOverflow to PriorityQueue
1,TestStressNRT failures (reproducible)
1,ConcurrentModificationException during registration of nodetypes
0,Allow servlet filters to specify custom session providers
1,SearchWithSortTask ignores sorting by Doc
1,TestIndexWriter.testBackgroundOptimize fails with too many open files
1,AbstractJournal doesn't create deep paths for revision files
1,DocumentViewExportVisitor class incorrectly handles XML escaping for element names
0,DefaultLoginModule performs anonymous login in case of unsupported Credentials implementation
0,Remove DocumentWriter
0,Fixes a handful of misspellings/mistakes in changes.txt
0,AuthorizableImpl#memberOf and #declaredMemberOf should return RangeIterator
1,"SQL parser chokes on prefixes containing a ""-"" character"
0,add an interface for plugable dns clients
1,NullpointerException in SessionItemStateManager
0,"don't require an analyzer, if all fields are NOT_ANALYZED"
0,Test failure: org.apache.jackrabbit.test.TestAll
1,"Preemptive Authorization parameter initialization incorrect, causes preemptive auth not to work"
1,remove IndexInput.copyBuf
0,change some access-level modifiers to allow for better subclassing
1,Error while restoring OPV=Version childnodes (Restore of root version not allowed)
0,"Add unit test showing how to do a ""live backup"" of an index"
1,SSL connections cannot be established using the IP address
0,Sun hotspot compiler bug in 1.6.0_04/05 affects Lucene
1,Destination URI should be normalized
0,Add JCR-RMI documentation to the Jackrabbit web site
0,JSR 283: Locking
0,Update StandardTokenizer and UAX29Tokenizer to Unicode 6.0.0
1,SpanScorer does not respect ConstantScoreRangeQuery setting
0,improve test coverage for Multi*
1,close() throws incorrect IllegalStateEx after IndexWriter hit an OOME when autoCommit is true
0,AttributeSource holds strong reference to class instances and prevents unloading e.g. in Solr if webapplication reload and custom attributes in separate classloaders are used (e.g. in the Solr plugins classloader)
0,Use the new Jackrabbit parent POM
0,Further improvements to contrib/benchmark for testing NRT
0,SnowballAnalyzer has a link to net.sf (a package that is empty and needs to be removed).
1,Item.isSame() may return true for 2 nodes from different workspaces.
1,OracleFileSystem can't handle empty files
1,FixedIntBlockIndexInput.Reader does not initialise 'pending' int array
0,"Deprecate StandardBenchmarker and ""old"" benchmarker code in favor of the Task based approach"
1,".war distribution should be configurable, prompting you to setup JNDI with the Repository Home and Config locations."
0,QueryWrapperFilter should not do scoring
0,"Add SearcherManager, to manage IndexSearcher usage across threads and reopens"
0,"Clean up old JIRA issues in component ""Analysis"""
