label,summmarydescription
1,CachingHieraarchyManager may serve moved items
0,Repository requires access to external resource
0,"Convert some tests to new TokenStream API, better support of cross-impl AttributeImpl.copyTo()"
0,[PATCH] better exception messages when generating schema
0,Move core QueryParsers to queryparser module
0,expose shutdown method in o.a.j.jndi.BindableRepository
0,A handy utility class for tracking deprecated overridden methods
0,Un-deprecate QueryParser and remove documentation that says it will be replaced in 3.0
0,GQLTest fails occasionally
0,Add signature and major/minor version to the journal files used for clustering
1,NullPointerException during indexing in DocumentsWriter$ThreadState$FieldData.addPosition
1,ItemManager.toString() causes StackOverflowError
1,Contrib queries package Query implementations do not override equals()
0,ValueSourceQuery hits synchronization bottleneck in IndexReader.isDeleted
0,Release the OCM component
0,Add contrib libs to classpath for javadoc
0,BytesRefHash#get() should expect a BytesRef instances for consistency
0,Do not fulltext index jcr:uuid property
1,Denying a primaryType does not work in XPath
1,unable to workspace import XML.
0,OOM in TestBeiderMorseFilter.testRandom
1,FastVectorHighlighter: out of alignment when the first value is empty in multiValued field
0,Deprecate Analyzer.tokenStream
0,Create IndexWriterConfiguration and store all of IW configuration there
1,Jcr-Server: registration of ReportTypes fails
0,better explain output
0,jcr2spi: create ChangePolling thread on demand
0,TestIndexwriterWithThreads#testCloseWithThreads hangs if a thread hit an exception before indexing its first document
1,Infinite loop on basic authentication
0,Remove/Uncommit SegmentingTokenizerBase
0,SQL Azure support: clustered indexes
0,Javadoc - Field constructor with Reader needs comment about retained reference
0,DocValues.type() -> DocValues.getType()
0,Add getPath method to Authorizable interface
1,"DatabaseJournal commits twice inside a transaction, causing an error with MySQL"
0,factor out a shared spellchecking module
1,Repository does not release all resources on shutdown
1,LuceneQueryBuilder assumes readability of root-Node to be granted in any case.
1,ProxyCredentials disclosed to remote host
0,Add UserManager.createGroup(String groupID) method
0,"Add SearcherLifetimeManager, so you can retrieve the same searcher you previously used"
1,TieredMergePolicy expungeDeletes should not enforce maxMergedSegmentMB
0,Add test for Node.restore() may throw InvalidStateException
0,jcr2spi: reloading of invalidated nodes doesn't benefit from batch-read
0,"src builds fail because of no ""lib"" directory"
1,NPE in classes of OJB-PM
0,IndexWriter should detect when it's used after being closed
0,Mandatory authentication prevents webdav client connections
1,"TaxonomyWriter parents array creation is not thread safe, can cause NPE"
0,Create Jcr-Client Module
1,BLOBFileValue() might be discarded to early
0,Better 'invalid format' exception messages for value classes
0,StopFilter should not create a new CharArraySet if the given set is already an instance of CharArraySet
1,NPE when calling isCurrent() on a ParallellReader
1,DescendantSelfAxisQuery may fail with IOException when session has limited access
0,Contribute Pluggable Permission and User Management to Jackrabbit
0,Wrong method signatures in AbstractHttpClient
1,CookieSpec.formatCookie(Cookie) produces an incorrect cookie header value
0,Remove deprecated Scorer.explain(int) method
0,HTTPClient doesn't send authentication header in threaded environment
0,jira notifications
1,Requests are retried 3 times unconditionaly
0,Replace SegmentReader.Ref with AtomicInteger
0,Update idea plugin version
0,Provide access to SSLSession in ManagedClientConnection
0,Build.xml - add log level definitions
1,JCARepositoryManager does not close InputStream used to obtain repository config from classpath
1,CLONE -ManageableCollectionUtil doesn't support Maps
0,AbstractHttpClient.addRequestInterceptor should document in what order the interceptors run
0,Get rid of (another) hard coded path
1,Incorrect usage of AttributeSource.addAttribute/getAttribute leads to failures when onlyUseNewAPI=true
1,PostMethod#setParameter
0,ByteArrayBody as an alternative to InputStreamBody
0,extract test content loading from JackrabbitRepositoryStub
0,Error when registering nodetype with same propdef as supertype
0,PathHierarchyTokenizer adaptation for urls: splits reversed
1,Exception in DocumentsWriter.ThreadState.init leads to corruption
1,inconsistent repository after overlapping node add operations
0,"[PATCH] Better ""lock obtain timed out"" error message"
0,Upgrade to Logback 1.0
0,Allow o.a.j.jca.JCARepositoryManager to load repository configuration from the classpath.
1,[PATCH] Ordered spanquery with slop can fail
0,multipart feedback
1,NodeTypeRegistry.registerNodeType(NodeTypeDef) does not verify that the referenced namespaces are registered
1,jcr2spi:  Remove sanityCheck() from ItemImpl.getSession()
0,Remove some unused code in Surround query parser
1,StandardBenchmarker#makeDocument does not explicitly close opened files
0,Track FieldInfo per segment instead of per-IW-session
0,Cookie rejected
0,Some tests fail due to common use of java.io.tmpdir
0,Optimize queries with relative path in order by clause
0,remove Query.getSimilarity()
1,NullPointerException in AbstractVersionManager.createVersionHistory()
0,Make QueryAutoStopWordAnalyzer immutable and reusable
0,Session.importXml should close the input stream (as to JSR 283/JCR 2.0)
0,Add log.step support per task
0,FieldCache should include a BitSet for matching docs
1,QValueFactoryImpl$BinaryQValue must not return 'this' on getBinary
0,LuceneTestCase's uncaught exceptions handler should check for AssumptionViolatedExceptions and then not trigger test failure
1,"""Directory was previously created with a different LockFactory"" when open, close, delete a repository in a loop"
0,Access to SO_TIMEOUT for open connections
1,cluster synchronization NPE
0,Rename EasySimilarity to SimilarityBase
0,More verbose message on reference constraint violation
1,"DefaultAccessManager#hasPrivileges(String,Set,Privilege[]) doesn't close compiled permissions"
0,SPI: prefer 'Iterator' instead of specialized subclasses
1,Config incorrectly handles Windows absolute pathnames
1,redirect not handled correctly if location header doesn't have a protocol
0,Support synonym searches
0,TCK: SetPropertyValueTest#testCompactValueArrayWithNulls does not respect nodename1 and nodetype configuration properties
1,IndexWriter.addIndexesNoOptimize ignores the compound file setting of the destination index
1,KuromojiTokenizer fails with large docs
0,pom.xml in sandbox/spi has wrong scm url
0,Convert Lucene Core tests over to a simple MockQueryParser
1,Benchmark's ExtractReuters creates its temp dir wrongly if provided out-dir param ends by slash
0,MemoryFileSystem is different from other FileSystems
0,LogMergePolicy.findMergesToExpungeDeletes need to get deletes from the SegmentReader
0,Move document type definition out of repository.xml
