label,summarydescription
0,QDefinitionBuilderFactory should auto-subtype from nt:base
0,Build failed in the flexscoring branch because of Javadoc warnings
0,RMIC not working in subprojects when compiling parent using maven2
0,Make CacheEntry use an immutable object to represent cache content 
0,[PATCH] cleanup unwanted stream closing that isn't used
0,Arabic Analyzer: Stopwords list needs enhancement
0,[PATCH] HTMLParser doesn't parse hexadecimal character references
0,'ant javacc' in root project should also properly create contrib/surround Java files
0,SSL contrib files do not use standard javax.net.ssl package provided from JDK 1.4.2
0,Specialize BooleanQuery if all clauses are TermQueries
0,"build.xml's tar task should use longfile=""gnu"""
0,Easier way to run benchmark
0,Rename IndexReader.reopen to make it clear that reopen may not happen
0,Timeout for Session and/or Lock
0,DerbyPersistenceManager only usable for embedded databases
0,Get rid of NonMatchingScorer from BooleanScorer2
0,orm-persistence package doesn't compile against cvs head.
0,JSR 283: NodeType Management
0,Split DocMaker into ContentSource and DocMaker
0,Create docvalues based grouped facet collector
0,Un-deprecate QueryParser and remove documentation that says it will be replaced in 3.0
0,Remove unnecessary array wrapping when calling varargs methods
0,have jackrabbit-core produce a test jar
0,Replace SegmentReader.Ref with AtomicInteger
0,UUID generation: SecureRandom should be used by default
0,Invalid redirects are not corrected
0,Add solr's artifact signing scripts into lucene's build.xml/common-build.xml
0,Remove/deprecate IndexReader.undeleteAll
0,"[PATCH] ant-task ""javadocs-all"" fails with OutOfMemoryError"
0,[PATCH] setIndexInterval() in IndexWriter
0,Referenced derby library behaves buggy on FreeBSD
0,contrib/bdb-persistence: update berkeleydb version
0,BooleanScorer should not limit number of prohibited clauses
0,TestTimeLimitedCollector  shuold not fail if the testing machine happens to be slow
0,[GSoC] Implementing State of the Art Ranking for Lucene
0,Updates to connectionStaleCheckingEnabled docs.
0,Default to anonymous access when no Credentials are given
0,WriteLineDocTask improvements
0,Replace BundleFsPersistenceManager with DerbyPersistenceManager in the JR Core indexing tests
0,Demo: DeleteFiles doesn't delete files by their path names
0,SQL2 parser may infer type for UncastLiteral from static analysis
0,add maxtf to fieldinvertstate
0,Refactoring of FilteredTermsEnum and MultiTermQuery
0,tests should run checkIndex on indexes they create
0,Enhance SnapshotDeletionPolicy to allow taking multiple snapshots
0,Unnecessary null check in EffectiveNodeType.getApplicableChildNodeDef()
0,Add configuration path to SynonymProvider
0,TokenFilter should implement reset()
0,need to add a default constructor for Cookie
0,web.xml refers to 2.2 dtd
0,Possible Memory Leak in StoredFieldsWriter
0,Add set/getLocalAddress methods to HostConfiguration
0,Reduce memory usage of ParentAxisScorer
0,Remove excessive dependencies from jcr-client module
0,make sure no static loggers are used
0,Two-stage state expansion for the FST: distance-from-root and child-count criteria.
0,"Deprecation of autoCommit in 2.4 leads to compile problems, when autoCommit should be false"
0,Hardening of NativeFSLock
0,User-defined ProtocolSocketFactory for secure connection through proxy
0,addIndexes(Directory...) should not trigger merge on flush()
0,[CONTRIB] SSL authenticating protocol socket factory
0,Extract the public API interfaces from o.a.j.core to o.a.j.api
0,ms-sql tablespace support for FileSystem and PersistenceManager
0,Fix buggy stemmers and Remove duplicate analysis functionality
0,Optimize the core tokenizers/analyzers & deprecate Token.termText
0,Spatial Filters not Serializable
0,javacc skeleton files not regenerated
0,Build.xml - add log level definitions
0,IOUtils.closeSafely should log suppressed Exceptions in stack trace of original Exception (a new feature of Java 7)
0,Use a separate JFlex generated Unicode 4 by Java 5 compatible StandardTokenizer
0,Drop the Dumpable interface
